[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:07] [INFO] STARTING OPENALEX FACULTY RESEARCH JSON EXTRACTION PIPELINE
[2026-09-19 19:24:07] [INFO] Target Sheet: Master - All Live Verified
[2026-09-19 19:24:07] [INFO] Destination:  d:\Others\findprofs\openalex_mechaero_faculty_json\universities_wise
[2026-09-19 19:24:07] [INFO] Date Filter:  2023-01-01 to 2026-06-30 (Mid-2026)
[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:08] [INFO] Total verified faculty members with valid OpenAlex ID: 787
[2026-09-19 19:24:08] [INFO] Running multi-threaded harvesting pool with 5 workers...
[2026-09-19 19:24:36] [INFO] [ 29/787] (  3.7%) [SAVED] Guillaume Blanquart       | California Institute of T | Works: 205, Cites:  4513, h-index: 30 | Speed: 1.0 profs/s | ETA: 12.3m
[2026-09-19 19:24:38] [INFO] [ 30/787] (  3.8%) [SAVED] Tim Colonius              | California Institute of T | Works: 580, Cites: 19700, h-index: 63 | Speed: 1.0 profs/s | ETA: 12.6m
[2026-09-19 19:24:39] [INFO] [ 31/787] (  3.9%) [SAVED] Joseph E. Shepherd        | California Institute of T | Works:  17, Cites:    11, h-index:  2 | Speed: 1.0 profs/s | ETA: 12.8m
[2026-09-19 19:24:39] [INFO] [ 32/787] (  4.1%) [SAVED] Adrian Lozano-Duran       | California Institute of T | Works:   2, Cites:     0, h-index:  0 | Speed: 1.0 profs/s | ETA: 12.5m
[2026-09-19 19:24:40] [INFO] [ 33/787] (  4.2%) [SAVED] Morteza (Mory) Gharib     | California Institute of T | Works: 604, Cites: 16216, h-index: 69 | Speed: 1.0 profs/s | ETA: 12.2m
[2026-09-19 19:24:40] [INFO] [ 34/787] (  4.3%) [SAVED] John O. Dabiri            | California Institute of T | Works: 310, Cites:  9724, h-index: 54 | Speed: 1.1 profs/s | ETA: 11.8m
[2026-09-19 19:24:42] [INFO] [ 35/787] (  4.4%) [SAVED] Amir Barati Farimani      | Carnegie Mellon Universit | Works: 330, Cites:  9440, h-index: 50 | Speed: 1.0 profs/s | ETA: 12.4m
[2026-09-19 19:24:53] [INFO] [ 36/787] (  4.6%) [SAVED] Shelley L. Anna           | Carnegie Mellon Universit | Works:  99, Cites:  8421, h-index: 29 | Speed: 0.8 profs/s | ETA: 15.7m
[2026-09-19 19:24:54] [INFO] [ 37/787] (  4.7%) [SAVED] Gerald J. Wang            | Carnegie Mellon Universit | Works: 117, Cites:  2133, h-index: 21 | Speed: 0.8 profs/s | ETA: 15.7m
[2026-09-19 19:24:54] [INFO] [ 38/787] (  4.8%) [SAVED] Philip LeDuc              | Carnegie Mellon Universit | Works: 359, Cites:  6836, h-index: 41 | Speed: 0.8 profs/s | ETA: 15.3m
[2026-09-19 19:24:54] [INFO] [ 39/787] (  5.0%) [SAVED] Carmel Majidi             | Carnegie Mellon Universit | Works: 363, Cites: 26038, h-index: 87 | Speed: 0.8 profs/s | ETA: 14.9m
[2026-09-19 19:24:57] [INFO] [ 40/787] (  5.1%) [SAVED] Joshua Bostwick           | Clemson University        | Works: 111, Cites:  1591, h-index: 21 | Speed: 0.8 profs/s | ETA: 15.3m
[2026-09-19 19:24:59] [INFO] [ 41/787] (  5.2%) [SAVED] Ethan Kung                | Clemson University        | Works:  63, Cites:   987, h-index: 17 | Speed: 0.8 profs/s | ETA: 15.5m
[2026-09-19 19:24:59] [INFO] [ 42/787] (  5.3%) [SAVED] Hassan Masoud             | Clemson University        | Works:  81, Cites:  1394, h-index: 20 | Speed: 0.8 profs/s | ETA: 15.1m
[2026-09-19 19:25:00] [INFO] [ 43/787] (  5.5%) [SAVED] Phanindra Tallapragada    | Clemson University        | Works: 123, Cites:   944, h-index: 16 | Speed: 0.8 profs/s | ETA: 15.0m
[2026-09-19 19:25:00] [INFO] [ 44/787] (  5.6%) [SAVED] Zhen Li                   | Clemson University        | Works: 955, Cites: 46252, h-index: 107 | Speed: 0.8 profs/s | ETA: 14.7m
[2026-09-19 19:25:01] [INFO] [ 45/787] (  5.7%) [SAVED] Chenning Tong             | Clemson University        | Works: 106, Cites:  1082, h-index: 17 | Speed: 0.8 profs/s | ETA: 14.7m
[2026-09-19 19:25:04] [INFO] [ 46/787] (  5.8%) [SAVED] Denis Aslangil            | Colorado School of Mines  | Works:  43, Cites:   138, h-index:  7 | Speed: 0.8 profs/s | ETA: 15.1m
[2026-09-19 19:25:05] [INFO] [ 47/787] (  6.0%) [SAVED] Yuhao Xu                  | Clemson University        | Works:  62, Cites:  1217, h-index: 20 | Speed: 0.8 profs/s | ETA: 14.9m
[2026-09-19 19:25:05] [INFO] [ 48/787] (  6.1%) [SAVED] Veronica Eliasson         | Colorado School of Mines  | Works: 134, Cites:   664, h-index: 16 | Speed: 0.8 profs/s | ETA: 14.7m
[2026-09-19 19:25:06] [INFO] [ 49/787] (  6.2%) [SAVED] Rajavasanth Rajasegar     | Colorado School of Mines  | Works:  65, Cites:   731, h-index: 16 | Speed: 0.8 profs/s | ETA: 14.5m
[2026-09-19 19:25:06] [INFO] [ 50/787] (  6.4%) [SAVED] Nils Tilton               | Colorado School of Mines  | Works:  56, Cites:   740, h-index: 16 | Speed: 0.9 profs/s | ETA: 14.4m
[2026-09-19 19:25:08] [INFO] [ 51/787] (  6.5%) [SAVED] Robert J. Kee             | Colorado School of Mines  | Works: 428, Cites: 24705, h-index: 69 | Speed: 0.8 profs/s | ETA: 14.6m
[2026-09-19 19:25:09] [INFO] [ 52/787] (  6.6%) [SAVED] Ciprian Dumitrache        | Colorado State University | Works:  73, Cites:   511, h-index: 12 | Speed: 0.8 profs/s | ETA: 14.5m
[2026-09-19 19:25:09] [INFO] [ 53/787] (  6.7%) [SAVED] Bret Windom               | Colorado State University | Works: 123, Cites:  2183, h-index: 22 | Speed: 0.9 profs/s | ETA: 14.2m
[2026-09-19 19:25:10] [INFO] [ 54/787] (  6.9%) [SAVED] Azer Yalin                | Colorado State University | Works: 232, Cites:  2543, h-index: 30 | Speed: 0.9 profs/s | ETA: 14.1m
[2026-09-19 19:25:11] [INFO] [ 55/787] (  7.0%) [SAVED] Subhas Karan Venayagamoor | Colorado State University | Works: 125, Cites:  2253, h-index: 23 | Speed: 0.9 profs/s | ETA: 14.1m
[2026-09-19 19:25:13] [INFO] [ 56/787] (  7.1%) [SAVED] Olivier Desjardins        | Cornell University        | Works: 231, Cites:  4876, h-index: 34 | Speed: 0.9 profs/s | ETA: 14.2m
[2026-09-19 19:25:13] [INFO] [ 57/787] (  7.2%) [SAVED] Z. Jane Wang              | Cornell University        | Works:  38, Cites:  5479, h-index: 27 | Speed: 0.9 profs/s | ETA: 14.0m
[2026-09-19 19:25:14] [INFO] [ 58/787] (  7.4%) [SAVED] Gregory Paul Bewley       | Cornell University        | Works:   1, Cites:     0, h-index:  0 | Speed: 0.9 profs/s | ETA: 13.8m
[2026-09-19 19:25:15] [INFO] [ 59/787] (  7.5%) [SAVED] Jian-Xun Wang             | Cornell University        | Works: 294, Cites:  7980, h-index: 44 | Speed: 0.9 profs/s | ETA: 13.9m
[2026-09-19 19:25:16] [INFO] [ 60/787] (  7.6%) [SAVED] Perrine Pepiot            | Cornell University        | Works:  53, Cites:  1410, h-index: 20 | Speed: 0.9 profs/s | ETA: 13.8m
[2026-09-19 19:25:18] [INFO] [ 61/787] (  7.8%) [SAVED] Silvia Ferrari            | Cornell University        | Works: 380, Cites:  3687, h-index: 31 | Speed: 0.9 profs/s | ETA: 13.9m
[2026-09-19 19:25:18] [INFO] [ 62/787] (  7.9%) [SAVED] Elaine Petro              | Cornell University        | Works:  76, Cites:   347, h-index: 10 | Speed: 0.9 profs/s | ETA: 13.7m
[2026-09-19 19:25:18] [INFO] [ 63/787] (  8.0%) [SAVED] Mason Peck                | Cornell University        | Works: 228, Cites:  2515, h-index: 28 | Speed: 0.9 profs/s | ETA: 13.5m
[2026-09-19 19:25:19] [INFO] [ 64/787] (  8.1%) [SAVED] Benoit Cushman-Roisin     | Dartmouth College         | Works: 136, Cites:  3407, h-index: 27 | Speed: 0.9 profs/s | ETA: 13.4m
