Faculty Name,University,Department,OpenAlex ID,Reason,Top Topics,Sample Landmark Paper
Miroslav Krstic,University of California-San Diego,Department of Mechanical and Aerospace Engineering,A5018293076,ZERO_AERO_OR_FLUIDS_MATCH,Stability and Controllability of Differential Equations | Advanced Control Systems Optimization | Extremum Seeking Control Systems,Real-time optimization by extremum-seeking control
Hansen A. Mansy,University of Central Florida,Department of Mechanical and Aerospace Engineering,A5113834305,ZERO_AERO_OR_FLUIDS_MATCH,Phonocardiography and Auscultation Techniques | Non-Invasive Vital Sign Monitoring | Heart Rate Variability and Autonomic Control,Time-Frequency Distribution of Seismocardiographic Signals: A Comparative Study
Abhinav Sinha,University of Cincinnati,Department of Aerospace Engineering and Engineering Mechanics,A5022385451,ZERO_AERO_OR_FLUIDS_MATCH,Guidance and Control Systems | Distributed Control Multi-Agent Systems | Robotic Path Planning Algorithms,Cooperative integrated guidance and control design for simultaneous interception
Ahmed Allam,University of Cincinnati,Department of Mechanical and Materials Engineering,A5040270868,ZERO_AERO_OR_FLUIDS_MATCH,Microwave Engineering and Waveguides | Radio Frequency Integrated Circuit Design | Energy Harvesting in Wireless Networks,Mutual compensation of mobility and threshold voltage temperature effects with applications in CMOS circuits
Alireza Doostan,University of Colorado Boulder,Ann and H.J. Smead Department of Aerospace Engineering Sciences,A5005638433,ZERO_AERO_OR_FLUIDS_MATCH,Probabilistic and Robust Engineering Design | Model Reduction and Neural Networks | Advanced Multi-Objective Optimization Algorithms,A non-adapted sparse approximation of PDEs with stochastic inputs
Nicole Labbe,University of Colorado Boulder,Paul M. Rady Department of Mechanical Engineering,A5083124153,ZERO_AERO_OR_FLUIDS_MATCH,Lignin and Wood Chemistry | Biofuel production and bioconversion | Thermochemical Biomass Conversion Processes,Surface Functionality and Carbon Structures in Lignocellulosic-Derived Biochars Produced by Fast Pyrolysis
Xinyu Zhao,University of Connecticut,"School of Mechanical, Aerospace, and Manufacturing Engineering",A5100709184,ZERO_AERO_OR_FLUIDS_MATCH,Genetics and Neurodevelopmental Disorders | Epigenetics and DNA Methylation | Neurogenesis and neuroplasticity mechanisms,Effects of voluntary exercise on synaptic plasticity and gene expression in the dentate gyrus of adult male sprague–dawley rats in vivo
Abdullah Al Amin,University of Dayton,Department of Mechanical and Aerospace Engineering,A5091755527,ZERO_AERO_OR_FLUIDS_MATCH,Superconductivity in MgB2 and Alloys | Superconducting Materials and Applications | Physics of Superconductivity and Magnetism,Conceptual designs of conduction cooled MgB 2 magnets for 1.5 and 3.0 T full body MRI systems
David L. Burris,University of Delaware,Department of Mechanical Engineering,A5014060936,ZERO_AERO_OR_FLUIDS_MATCH,Tribology and Wear Analysis | Lubricants and Their Additives | Osteoarthritis Treatment and Mechanisms,A low friction and ultra low wear rate PEEK/PTFE composite
Félix L. Santiago-Collazo,University of Georgia,"School of Environmental, Civil, Agricultural and Mechanical Engineering",A5004814671,ZERO_AERO_OR_FLUIDS_MATCH,Tropical and Extratropical Cyclones Research | Coastal and Marine Dynamics | Flood Risk Assessment and Management,A comprehensive review of compound inundation models in low-gradient coastal watersheds
Matthew V. Bilskie,University of Georgia,"School of Environmental, Civil, Agricultural and Mechanical Engineering",A5057728869,ZERO_AERO_OR_FLUIDS_MATCH,Tropical and Extratropical Cyclones Research | Coastal and Marine Dynamics | Coastal wetland ecosystem dynamics,The dynamic effects of sea level rise on low‐gradient coastal landscapes: A review
R. Benjamin Davis,University of Georgia,"School of Environmental, Civil, Agricultural and Mechanical Engineering",A5074717370,ZERO_AERO_OR_FLUIDS_MATCH,Mathematics Education and Teaching Techniques | Structural Health Monitoring Techniques | Acoustic Wave Phenomena Research,Analysis of survival by tumor response.
Eva-Marie Nosal,University of Hawaii at Manoa,Department of Ocean and Resources Engineering,A5025019523,ZERO_AERO_OR_FLUIDS_MATCH,Underwater Acoustics Research | Marine animal studies overview | Underwater Vehicles and Communication Systems,Deep neural networks for automated detection of marine mammal species
Kwok Fai Cheung,University of Hawaii at Manoa,Department of Ocean and Resources Engineering,A5011809976,ZERO_AERO_OR_FLUIDS_MATCH,earthquake and tectonic studies | Coastal and Marine Dynamics | Ocean Waves and Remote Sensing,Shock-capturing Boussinesq-type model for nearshore wave processes
Yi Y. Zuo,University of Hawaii at Manoa,Department of Mechanical Engineering,A5008318872,BIOMEDICAL_OR_CLINICAL_DOMINATED,Inhalation and Respiratory Drug Delivery | Neonatal Respiratory Health Research | Surface Modification and Superhydrophobicity,"Airborne Transmission of COVID-19: Aerosol Dispersion, Lung Deposition, and Virus-Receptor Interactions"
Daniele Tonina,University of Idaho,Department of Civil and Environmental Engineering,A5090835300,ZERO_AERO_OR_FLUIDS_MATCH,Hydrology and Watershed Management Studies | Hydrology and Sediment Transport Processes | Soil and Water Nutrient Dynamics,Remote Sensing of Channels and Riparian Zones with a Narrow-Beam Aquatic-Terrestrial LIDAR
Daniel J. Robertson,University of Idaho,Department of Mechanical Engineering,A5084805362,ZERO_AERO_OR_FLUIDS_MATCH,Crop Yield and Soil Fertility | Wheat and Barley Genetics and Pathology | Agronomic Practices and Intercropping Systems,Fundamentals of DNA Hybridization Arrays for Gene Expression Analysis
Zachariah Etienne,University of Idaho,Department of Physics,A5010073173,ZERO_AERO_OR_FLUIDS_MATCH,Pulsars and Gravitational Waves Research | Gamma-ray bursts and supernovae | Astrophysical Phenomena and Observations,GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral
Seid Koric,University of Illinois Urbana-Champaign,Department of Mechanical Science and Engineering / NCSA,A5032466147,ZERO_AERO_OR_FLUIDS_MATCH,Model Reduction and Neural Networks | Metallurgical Processes and Thermodynamics | Machine Learning in Materials Science,Deep learning for topology optimization of 2D metamaterials
Albert Ratner,University of Iowa,Department of Mechanical Engineering,A5133049131,ZERO_AERO_OR_FLUIDS_MATCH,Nanopore and Nanochannel Transport Studies | nanoparticles nucleation surface interactions | Electrostatics and Colloid Interactions,A comprehensive multi-physics framework for modeling nanoparticle settling in liquids
Wilhelm Friess,University of Maine,Department of Mechanical Engineering,A5135511372,ZERO_AERO_OR_FLUIDS_MATCH,Wood Treatment and Properties | Masonry and Concrete Structural Analysis | Hygrothermal properties of building materials,Comparative analysis of the energetic performance of wood-fiber insulated panels in North American climates
Vipin Agarwal,University of Memphis,Department of Mechanical Engineering,A5068661241,ZERO_AERO_OR_FLUIDS_MATCH,Antibiotics Pharmacokinetics and Efficacy | Analytical Chemistry and Chromatography | Chaos control and synchronization,Nonlinear instabilities and control of drill-string stick-slip vibrations with consideration of state-dependent delay
Yong Hoon Lee,University of Memphis,Department of Mechanical Engineering,A5007488043,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Wireless Communication Techniques | Image and Signal Denoising Methods | Advanced Adaptive Filtering Techniques,Carrier frequency offset compensation for uplink of OFDM-FDMA systems
Francesco Travascio,University of Miami,Department of Mechanical and Aerospace Engineering,A5045617737,ZERO_AERO_OR_FLUIDS_MATCH,Spine and Intervertebral Disc Pathology | Musculoskeletal pain and rehabilitation | Knee injuries and reconstruction techniques,Effect of Compression and Anisotropy on the Diffusion of Glucose in Annulus Fibrosus
Kaan Inal,University of Miami,Department of Mechanical and Aerospace Engineering,A5072219664,ZERO_AERO_OR_FLUIDS_MATCH,Metal Forming Simulation Techniques | Microstructure and mechanical properties | Metallurgy and Material Forming,A review on the effect of rare-earth elements on texture evolution during processing of magnesium alloys
Asaf Dana,University of Nebraska-Lincoln,Department of Mechanical and Materials Engineering,A5020220667,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Materials and Mechanics | Shape Memory Alloy Transformations | Advanced Sensor and Energy Harvesting Materials,Material assembly from collective action of shape-changing polymers
Claus Danielson,University of New Mexico,Department of Mechanical Engineering,A5072891938,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Control Systems Optimization | Control Systems and Identification | Robotic Path Planning Algorithms,Autonomous Multi-Robot Servicing for Spacecraft Operation Extension
Wenbin Wan,University of New Mexico,Department of Mechanical Engineering,A5100544289,ZERO_AERO_OR_FLUIDS_MATCH,Fault Detection and Control Systems | Advanced Control Systems Optimization | Traffic control and management,A Safety Constrained Control Framework for UAVs in GPS Denied Environment
Amirhossein Ghasemi,University of North Carolina at Charlotte,Department of Mechanical Engineering & Engineering Science,A5021746158,ZERO_AERO_OR_FLUIDS_MATCH,Human-Automation Interaction and Safety | Traffic control and management | Occupational Health and Safety Research,Pre-compensation of servo contour errors using a model predictive control framework
Meng Wang,University of Notre Dame,Department of Aerospace and Mechanical Engineering,A5100377147,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Image and Video Retrieval Techniques | Multimodal Machine Learning Applications | Image Retrieval and Classification Techniques,LightGCN
Diogo Merguizo Sanchez,University of Oklahoma,School of Aerospace and Mechanical Engineering,A5088373890,ZERO_AERO_OR_FLUIDS_MATCH,Astro and Planetary Science | Planetary Science and Exploration | Spacecraft Dynamics and Control,On the effects of each term of the geopotential perturbation along the time I: Quasi-circular orbits
Douglas J. Durian,University of Pennsylvania,Department of Physics and Astronomy / Mechanical Engineering and Applied Mechanics (MEAM) Graduate Group,A5052862439,ZERO_AERO_OR_FLUIDS_MATCH,Granular flow and fluidized beds | Pickering emulsions and particle stabilization | Material Dynamics and Properties,Foam Mechanics at the Bubble Scale
Prashant K. Purohit,University of Pennsylvania,Department of Mechanical Engineering and Applied Mechanics (MEAM),A5044032256,ZERO_AERO_OR_FLUIDS_MATCH,Force Microscopy Techniques and Applications | Blood properties and coagulation | Cellular Mechanics and Interactions,Material Properties of Caenorhabditis elegans Swimming at Low Reynolds Number
Arun Shukla,University of Rhode Island,"Department of Mechanical, Industrial and Systems Engineering",A5101420666,ZERO_AERO_OR_FLUIDS_MATCH,Structural Response to Dynamic Loads | Mechanical Behavior of Composites | High-Velocity Impact and Material Behavior,The blast resistance of sandwich composites with stepwise graded cores
Lora Van Uffelen,University of Rhode Island,Department of Ocean Engineering,A5007991557,ZERO_AERO_OR_FLUIDS_MATCH,Underwater Acoustics Research | Underwater Vehicles and Communication Systems | Marine animal studies overview,Localization and Subsurface Position Error Estimation of Gliders Using Broadband Acoustic Signals at Long Range
M. Reza Hashemi,University of Rhode Island,Department of Ocean Engineering,A5060805462,ZERO_AERO_OR_FLUIDS_MATCH,Ocean Waves and Remote Sensing | Terahertz technology and applications | Tropical and Extratropical Cyclones Research,The role of tidal asymmetry in characterizing the tidal energy resource of Orkney
Adam B. Sefkow,University of Rochester,Department of Mechanical Engineering / LLE,A5060976626,ZERO_AERO_OR_FLUIDS_MATCH,Laser-Plasma Interactions and Diagnostics | Magnetic confinement fusion research | Particle accelerators and beam dynamics,Pulsed-power-driven cylindrical liner implosions of laser preheated fuel magnetized with an axial field
Danae N. Polsin,University of Rochester,Department of Mechanical Engineering / LLE,A5075763728,ZERO_AERO_OR_FLUIDS_MATCH,High-pressure geophysics and materials | Laser-Plasma Interactions and Diagnostics | Diamond and Carbon-based Materials Research,Shock-wave equation-of-state measurements in fused silica up to 1600 GPa
Sean P. Regan,University of Rochester,Department of Mechanical Engineering / LLE,A5106945148,ZERO_AERO_OR_FLUIDS_MATCH,Laser-Plasma Interactions and Diagnostics | High-pressure geophysics and materials | Fusion materials and technologies,Microphysics studies for direct-drive inertial confinement fusion
Joseph Jiong Wang,University of Southern California,Department of Aerospace and Mechanical Engineering / Department of Astronautical Engineering,A5069491860,ZERO_AERO_OR_FLUIDS_MATCH,Ionosphere and magnetosphere dynamics | Solar and Space Plasma Dynamics | Geomagnetism and Paleomagnetism Studies,Electrodynamic interactions between charged space systems and the ionospheric plasma environment
Niema M. Pahlevan,University of Southern California,Department of Aerospace and Mechanical Engineering / Department of Medicine,A5003076379,ZERO_AERO_OR_FLUIDS_MATCH,Cardiovascular Function and Risk Factors | Cardiovascular Health and Disease Prevention | Heart Rate Variability and Autonomic Control,Experimental investigation of the effect of non-Newtonian behavior of blood flow in the Fontan circulation
Roger Ghanem,University of Southern California,Department of Aerospace and Mechanical Engineering / Sonny Astani Department of Civil and Environmental Engineering,A5006138292,ZERO_AERO_OR_FLUIDS_MATCH,Probabilistic and Robust Engineering Design | Structural Health Monitoring Techniques | Wind and Air Flow Studies,Stochastic Finite Elements: A Spectral Approach
Jasim Imran,University of South Carolina,"Department of Civil and Environmental Engineering, Mechanical Engineering",A5087044762,ZERO_AERO_OR_FLUIDS_MATCH,Hydrology and Sediment Transport Processes | Geological formations and processes | Hydraulic flow and structures,Numerical Modeling of Three-Dimensional Flow Field Around Circular Piers
Lingyu Yu,University of South Carolina,"Department of Mechanical Engineering, Aerospace Engineering",A5043313332,ZERO_AERO_OR_FLUIDS_MATCH,Ultrasonics and Acoustic Wave Propagation | Structural Health Monitoring Techniques | Non-Destructive Testing Techniques,In situ 2-D piezoelectric wafer active sensors arrays for guided wave damage detection
Andrea D'Ambrosio,University of South Florida,Department of Mechanical Engineering,A5128427065,ZERO_AERO_OR_FLUIDS_MATCH,Spacecraft Dynamics and Control | Space Satellite Systems and Control | Adaptive Dynamic Programming Control,Pontryagin Neural Networks for High-Fidelity Cislunar Orbital Transfers
Anshuman Pandey,University of South Florida,Department of Mechanical Engineering,A5137449393,ZERO_AERO_OR_FLUIDS_MATCH,,Velocimetry of Expansion-Compression Geometries in High-Speed Flows
David Murphy,University of South Florida,Department of Mechanical Engineering,A5044560051,ZERO_AERO_OR_FLUIDS_MATCH,History and Developments in Astronomy | Neuroendocrine regulation and behavior | Australian History and Society,DEPLETION AND DISRUPTION OF DIETARY FIBRE
Wenbin Mao,University of South Florida,Department of Mechanical Engineering,A5021749995,BIOMEDICAL_OR_CLINICAL_DOMINATED,Cardiac Valve Diseases and Treatments | Microfluidic and Bio-sensing Technologies | Cardiovascular Function and Risk Factors,Numerical Parametric Study of Paravalvular Leak Following a Transcatheter Aortic Valve Deployment Into a Patient-Specific Aortic Root
Peng Zhao,University of Tennessee-Knoxville / UT Space Institute,Department of Mechanical and Aerospace Engineering,A5057131883,ZERO_AERO_OR_FLUIDS_MATCH,Glycosylation and Glycoproteins Research | Monoclonal and Polyclonal Antibodies Research | COVID-19 Clinical Research Studies,Pathological findings of COVID-19 associated with acute respiratory distress syndrome
Yonas Tadesse,University of Texas at Dallas,Department of Mechanical Engineering,A5067149414,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Sensor and Energy Harvesting Materials | Advanced Materials and Mechanics | Soft Robotics and Applications,Tailoring the Response Time of Shape Memory Alloy Wires through Active Cooling and Pre-stress
Hai-Chao Han,University of Texas at San Antonio,"Department of Mechanical, Aerospace, and Industrial Engineering",A5053647070,ZERO_AERO_OR_FLUIDS_MATCH,Elasticity and Material Modeling | Coronary Interventions and Diagnostics | Connective tissue disorders research,Matrix Metalloproteinase-28 Deletion Exacerbates Cardiac Dysfunction and Rupture After Myocardial Infarction in Mice by Inhibiting M2 Macrophage Activation
Xiaowei He,University of Utah,Department of Mechanical Engineering,A5060690411,ZERO_AERO_OR_FLUIDS_MATCH,Optical Imaging and Spectroscopy Techniques | Photoacoustic and Ultrasonic Imaging | Spectroscopy Techniques in Biomedical and Chemical Research,Phosphorylation of Serine 256 by Protein Kinase B Disrupts Transactivation by FKHR and Mediates Effects of Insulin on Insulin-like Growth Factor-binding Protein-1 Promoter Activity through a Conserved Insulin Response Sequence
Thomas Breunung,University of Wisconsin-Madison,Department of Mechanical Engineering,A5091725677,ZERO_AERO_OR_FLUIDS_MATCH,Bladed Disk Vibration Dynamics | Structural Health Monitoring Techniques | Probabilistic and Robust Engineering Design,The deterministic core of stochastically perturbed nonlinear mechanical systems
Ilya Avdeev,University of Wisconsin-Milwaukee,Department of Mechanical Engineering,A5065129077,ZERO_AERO_OR_FLUIDS_MATCH,Advanced MEMS and NEMS Technologies | Advanced Battery Technologies Research | Fiber-reinforced polymer composites,"Power, structural and noise performance tests on different wind turbine rotor blade designs"
Nathan Salowitz,University of Wisconsin-Milwaukee,Department of Mechanical Engineering,A5063950022,ZERO_AERO_OR_FLUIDS_MATCH,Ultrasonics and Acoustic Wave Propagation | Smart Materials for Construction | Advanced Sensor and Energy Harvesting Materials,A Spider‐Web‐Like Highly Expandable Sensor Network for Multifunctional Materials
William D. Musinski,University of Wisconsin-Milwaukee,Department of Mechanical Engineering,A5005595633,ZERO_AERO_OR_FLUIDS_MATCH,Fatigue and fracture mechanics | High Temperature Alloys and Creep | Additive Manufacturing Materials and Processes,Microstructure-sensitive HCF and VHCF simulations
Amit Pathak,Washington University in St. Louis,Department of Mechanical Engineering and Materials Science,A5031107951,ZERO_AERO_OR_FLUIDS_MATCH,Cellular Mechanics and Interactions | 3D Printing in Biomedical Research | Cancer Cells and Metastasis,Biophysical regulation of tumor cell invasion: moving beyond matrix stiffness
Philip Bayly,Washington University in St. Louis,Department of Mechanical Engineering and Materials Science,A5045394358,ZERO_AERO_OR_FLUIDS_MATCH,Elasticity and Material Modeling | Automotive and Human Injury Biomechanics | Ultrasound Imaging and Elastography,Diffusion Tensor Imaging Reliably Detects Experimental Traumatic Axonal Injury and Indicates Approximate Time of Injury
Longsheng Feng,Wayne State University,Department of Mechanical Engineering,A5038736444,ZERO_AERO_OR_FLUIDS_MATCH,High Temperature Alloys and Creep | Advancements in Battery Materials | High Entropy Alloys Studies,Nanocone‐Modified Surface Facilitates Gas Bubble Detachment for High‐Rate Alkaline Water Splitting
Mahbub Islam,Wayne State University,Department of Mechanical Engineering,A5046600331,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Battery Materials and Technologies | Advancements in Battery Materials | Graphene research and applications,"The ReaxFF reactive force-field: development, applications and future directions"
Mohammad A. Bukhari,Wayne State University,Department of Mechanical Engineering,A5041466042,ZERO_AERO_OR_FLUIDS_MATCH,Acoustic Wave Phenomena Research | Metamaterials and Metasurfaces Applications | Innovative Energy Harvesting Technologies,Exact Nonlinear Dynamic Analysis of a Beam With a Nonlinear Vibration Absorber and With Various Boundary Conditions
