university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
New Jersey Institute of Technology,P.M. Jordan,A5040849654,158,2709,29,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Thermoelastic and Magnetoelastic Phenomena | Nanofluid Flow and Heat Transfer
University of Wyoming,Thanasis Barlas,A5079107095,109,2680,26,Wind Energy Research and Development,Wind Energy Research and Development | Wind and Air Flow Studies | Fluid Dynamics and Vibration Analysis
University of Nevada-Reno,A. M. Rajendran,A5002606828,175,2643,30,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Microstructure and mechanical properties | Structural Response to Dynamic Loads
New Jersey Institute of Technology,Piero M. Armenante,A5064271304,119,2639,30,Fluid Dynamics and Mixing,Fluid Dynamics and Mixing | Microbial bioremediation and biosurfactants | Metallurgical Processes and Thermodynamics
University of Dayton,Elena A. Guliants,A5085664128,58,2602,20,Semiconductor materials and interfaces,Semiconductor materials and interfaces | Silicon Nanostructures and Photoluminescence | Silicon and Solar Cell Technologies
University of California-Davis,José L. Castillo,A5079712667,952,2471,28,Medicine and Dermatology Studies History,Medicine and Dermatology Studies History | Cultural and Social Studies in Latin America | Combustion and flame dynamics
Southern Methodist University,Peter E. Raad,A5051233101,143,2364,22,Thermal properties of materials,Thermal properties of materials | Fluid Dynamics Simulations and Interactions | GaN-based semiconductor devices and materials
University of Mississippi,Charles E. Tinney,A5042098193,170,2333,26,Aerodynamics and Acoustics in Jet Flows,Aerodynamics and Acoustics in Jet Flows | Fluid Dynamics and Turbulent Flows | Computational Fluid Dynamics and Aerodynamics
Louisiana State University,Yanyu Wang,A5100780540,240,2329,23,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Advanced Sensor and Control Systems | Particle accelerators and beam dynamics
New Jersey Institute of Technology,Yuan‐Nan Young,A5038185799,180,2318,25,Micro and Nano Robotics,Micro and Nano Robotics | Lipid Membrane Structure and Behavior | Fluid Dynamics and Turbulent Flows
University of Massachusetts-Lowell,Charles Thompson,A5046763283,299,2292,22,Acoustic Wave Phenomena Research,Acoustic Wave Phenomena Research | Underwater Acoustics Research | Ultrasonics and Acoustic Wave Propagation
University of Mississippi,Qingqing Liu,A5100740327,129,2292,25,Navier-Stokes equation solutions,Navier-Stokes equation solutions | Heat Transfer and Boiling Studies | Advanced Mathematical Physics Problems
University of Central Florida,Kareem A. Ahmed,A5051850761,357,2262,24,Combustion and Detonation Processes,Combustion and Detonation Processes | Combustion and flame dynamics | Fire dynamics and safety research
Missouri University of Science and Technology,Subhas K. Venayagamoorthy,A5060491905,125,2253,23,Oceanographic and Atmospheric Processes,Oceanographic and Atmospheric Processes | Fluid Dynamics and Turbulent Flows | Meteorological Phenomena and Simulations
University of Dayton,Abdul A. Khan,A5101936909,118,2251,27,Hydraulic flow and structures,Hydraulic flow and structures | Hydrology and Sediment Transport Processes | Hydrology and Watershed Management Studies
University of Dayton,Richard C. Striebich,A5109330963,64,2188,25,Heat transfer and supercritical fluids,Heat transfer and supercritical fluids | Advanced Combustion Engine Technologies | Microbial bioremediation and biosurfactants
University of Denver,Matthew J. Rutherford,A5030563924,126,2171,21,Aerospace and Aviation Technology,Aerospace and Aviation Technology | Adaptive Control of Nonlinear Systems | Robotic Path Planning Algorithms
Old Dominion University,Oktay Baysal,A5043495490,172,2154,24,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Fluid Dynamics and Turbulent Flows | Gas Dynamics and Kinetic Theory
Lehigh University,Sudhakar Neti,A5058048438,137,2122,25,Phase Change Materials Research,Phase Change Materials Research | Adsorption and Cooling Systems | Solar Thermal and Photovoltaic Systems
Brigham Young University,Tracianne B. Neilsen,A5065488855,455,2121,23,Aerodynamics and Acoustics in Jet Flows,Aerodynamics and Acoustics in Jet Flows | Acoustic Wave Phenomena Research | Underwater Acoustics Research
Southern Methodist University,Patty Wisian‐Neilson,A5034805429,141,2105,26,Synthesis and characterization of novel inorganic/organometallic compounds,Synthesis and characterization of novel inorganic/organometallic compounds | Flame retardant materials and properties | Organophosphorus compounds synthesis
New Jersey Institute of Technology,Lin Zhao,A5036011550,108,2059,26,Oil Spill Detection and Mitigation,Oil Spill Detection and Mitigation | Atmospheric and Environmental Gas Dynamics | Petroleum Processing and Analysis
University of Notre Dame,Ryan G. McClarren,A5036337528,270,2045,22,Nuclear reactor physics and engineering,Nuclear reactor physics and engineering | Gas Dynamics and Kinetic Theory | Nuclear Physics and Applications
University of Massachusetts-Lowell,Alireza V. Amirkhizi,A5033508464,139,2042,24,Structural Response to Dynamic Loads,Structural Response to Dynamic Loads | Acoustic Wave Phenomena Research | Metamaterials and Metasurfaces Applications
Rensselaer Polytechnic Institute,Zvi Rusak,A5053637121,231,2015,26,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Computational Fluid Dynamics and Aerodynamics | Particle Dynamics in Fluid Flows
Rensselaer Polytechnic Institute,M.Z. Podowski,A5112268654,151,2013,22,Nuclear reactor physics and engineering,Nuclear reactor physics and engineering | Nuclear Engineering Thermal-Hydraulics | Fluid Dynamics and Mixing
New Jersey Institute of Technology,Costas G. Gogos,A5041039575,110,2011,28,Polymer crystallization and properties,Polymer crystallization and properties | Rheology and Fluid Dynamics Studies | Drug Solubulity and Delivery Systems
University of Wisconsin-Milwaukee,Raymond Fleming,A5110255804,122,1983,20,Vehicle emissions and performance,Vehicle emissions and performance | Advanced Combustion Engine Technologies | Catalytic Processes in Materials Science
University of Dayton,Matthew J. DeWitt,A5081816025,70,1977,22,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Vehicle emissions and performance | Heat transfer and supercritical fluids
Old Dominion University,Chunqi Jiang,A5025388791,158,1973,25,Plasma Applications and Diagnostics,Plasma Applications and Diagnostics | Plasma Diagnostics and Applications | Pulsed Power Technology Applications
University of Dayton,J. Richard Ward,A5110033939,102,1958,15,Electromagnetic Launch and Propulsion Technology,Electromagnetic Launch and Propulsion Technology | Energetic Materials and Combustion | Rocket and propulsion systems research
Rensselaer Polytechnic Institute,Jeffrey W. Banks,A5006563491,149,1953,26,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Advanced Numerical Methods in Computational Mathematics | Electromagnetic Simulation and Numerical Methods
Lehigh University,Edmund B. Webb,A5054995190,121,1938,27,Surface Modification and Superhydrophobicity,Surface Modification and Superhydrophobicity | nanoparticles nucleation surface interactions | Blood properties and coagulation
Lehigh University,Edward K. Levy,A5110133444,109,1912,27,Granular flow and fluidized beds,Granular flow and fluidized beds | Cyclone Separators and Fluid Dynamics | Particle Dynamics in Fluid Flows
California Institute of Technology,Peter Bachant,A5051382313,1060,1883,19,Engineering Applied Research,Engineering Applied Research | Internet of Things and Social Network Interactions | Cyclone Separators and Fluid Dynamics
New Jersey Institute of Technology,Boris Khusid,A5027489362,246,1871,24,Microfluidic and Bio-sensing Technologies,Microfluidic and Bio-sensing Technologies | Electrostatics and Colloid Interactions | Electrohydrodynamics and Fluid Dynamics
University of Dayton,Jamie S. Ervin,A5046403517,103,1830,22,Heat transfer and supercritical fluids,Heat transfer and supercritical fluids | Rocket and propulsion systems research | Combustion and flame dynamics
University of Denver,Shengzhe Wang,A5005745508,136,1820,17,Fluid Dynamics Simulations and Interactions,Fluid Dynamics Simulations and Interactions | Coastal and Marine Dynamics | Wave and Wind Energy Systems
University of Dayton,N. S. Brar,A5110699133,99,1814,20,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Energetic Materials and Combustion | High-pressure geophysics and materials
Southern Methodist University,Vladimir S. Ajaev,A5015380407,143,1813,25,Fluid Dynamics and Thin Films,Fluid Dynamics and Thin Films | Fluid Dynamics and Heat Transfer | Surface Modification and Superhydrophobicity
Tulane University,Qi Tang,A5036456769,218,1791,24,Laser-Plasma Interactions and Diagnostics,Laser-Plasma Interactions and Diagnostics | Computational Fluid Dynamics and Aerodynamics | Advanced Numerical Methods in Computational Mathematics
George Washington University,Lorena A. Barba,A5028603986,249,1787,23,Scientific Computing and Data Management,Scientific Computing and Data Management | Electromagnetic Scattering and Analysis | Research Data Management Practices
Lehigh University,Donald Rockwell,A5110108275,126,1763,23,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Fluid Dynamics and Vibration Analysis | Aerodynamics and Acoustics in Jet Flows
Missouri University of Science and Technology,Jason Baird,A5066040526,153,1676,21,Gyrotron and Vacuum Electronics Research,Gyrotron and Vacuum Electronics Research | Electromagnetic Launch and Propulsion Technology | Electromagnetic Effects on Materials
University of Central Florida,Bhimsen K. Shivamoggi,A5023448919,463,1628,17,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Solar and Space Plasma Dynamics | Ionosphere and magnetosphere dynamics
Brigham Young University,Scott D. Sommerfeldt,A5063493167,308,1577,19,Acoustic Wave Phenomena Research,Acoustic Wave Phenomena Research | Aerodynamics and Acoustics in Jet Flows | Advanced Adaptive Filtering Techniques
Texas Tech University,J. Mańkowski,A5042798960,269,1573,17,Pulsed Power Technology Applications,Pulsed Power Technology Applications | Gyrotron and Vacuum Electronics Research | Particle accelerators and beam dynamics
Baylor University,Stephen T. McClain,A5002758293,141,1560,20,Icing and De-icing Technologies,Icing and De-icing Technologies | Fluid Dynamics and Turbulent Flows | Heat Transfer Mechanisms
Rensselaer Polytechnic Institute,H. T. Nagamatsu,A5047612392,190,1547,23,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Gas Dynamics and Kinetic Theory | Fluid Dynamics and Turbulent Flows
University of Dayton,Kevin P. Hallinan,A5014198134,122,1534,20,Building Energy and Comfort Optimization,Building Energy and Comfort Optimization | Heat Transfer and Boiling Studies | Fluid Dynamics and Thin Films
Rensselaer Polytechnic Institute,Onkar Sahni,A5047734191,152,1532,20,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Computational Fluid Dynamics and Aerodynamics | Advanced Numerical Methods in Computational Mathematics
University of Idaho,Steven Beyerlein,A5111368957,137,1519,18,Engineering Education and Curriculum Development,Engineering Education and Curriculum Development | Engineering Education and Pedagogy | Advanced Combustion Engine Technologies
University of Rhode Island,Sau‐Lon James Hu,A5042635491,103,1476,20,Structural Health Monitoring Techniques,Structural Health Monitoring Techniques | Probabilistic and Robust Engineering Design | Seismic Performance and Analysis
University of Dayton,Andrew J. Piekutowski,A5010293647,57,1466,20,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Planetary Science and Exploration | Electromagnetic Launch and Propulsion Technology
University of Dayton,John D. Yeager,A5062397250,104,1413,23,Energetic Materials and Combustion,Energetic Materials and Combustion | High-Velocity Impact and Material Behavior | High-pressure geophysics and materials
New Jersey Institute of Technology,L. J. Cummings,A5029133213,162,1412,24,Fluid Dynamics and Thin Films,Fluid Dynamics and Thin Films | Liquid Crystal Research Advancements | Membrane Separation Technologies
University of Massachusetts-Lowell,J. Hunter Mack,A5076345023,123,1406,19,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Combustion and flame dynamics | Combustion and Detonation Processes
Old Dominion University,Linda Vahala,A5083104510,306,1389,20,Magnetic confinement fusion research,Magnetic confinement fusion research | Lattice Boltzmann Simulation Studies | Fluid Dynamics and Turbulent Flows
University of Denver,Alice Crawford,A5041439746,127,1371,17,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Atmospheric and Environmental Gas Dynamics | Atmospheric chemistry and aerosols
Missouri University of Science and Technology,William P. Schonberg,A5108422518,171,1339,18,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Planetary Science and Exploration | Space Satellite Systems and Control
Missouri University of Science and Technology,Wenqing Hu,A5082454668,122,1322,19,Stochastic processes and financial applications,Stochastic processes and financial applications | Stochastic Gradient Optimization Techniques | Sparse and Compressive Sensing Techniques
Missouri University of Science and Technology,P. Neogi,A5089298363,105,1302,20,Fluid Dynamics and Thin Films,Fluid Dynamics and Thin Films | Surface Modification and Superhydrophobicity | Surfactants and Colloidal Systems
University of Dayton,F. Eastep,A5111621825,87,1173,18,Aeroelasticity and Vibration Control,Aeroelasticity and Vibration Control | Computational Fluid Dynamics and Aerodynamics | Aerospace and Aviation Technology
University of Idaho,Ajay Kumar Chinnam,A5010638913,121,1109,21,Crystallization and Solubility Studies,Crystallization and Solubility Studies | X-ray Diffraction in Crystallography | Energetic Materials and Combustion
New Mexico State University,Daniel Smith,A5101405678,164,1101,17,Laser Material Processing Techniques,Laser Material Processing Techniques | Digital Holography and Microscopy | Laser Design and Applications
Missouri University of Science and Technology,Catherine E. Johnson,A5067459467,107,1086,18,Traumatic Brain Injury Research,Traumatic Brain Injury Research | Structural Response to Dynamic Loads | Traumatic Brain Injury and Neurovascular Disturbances
University of Dayton,Perry P. Yaney,A5086797379,131,1075,15,DNA and Nucleic Acid Chemistry,DNA and Nucleic Acid Chemistry | Advanced biosensing and bioanalysis techniques | Nonlinear Optical Materials Research
University of Dayton,Markus P. Rumpfkeil,A5054806727,90,1054,18,Probabilistic and Robust Engineering Design,Probabilistic and Robust Engineering Design | Computational Fluid Dynamics and Aerodynamics | Advanced Multi-Objective Optimization Algorithms
Howard University,Sonya Smith,A5030778461,101,1052,18,Solar and Space Plasma Dynamics,Solar and Space Plasma Dynamics | Ionosphere and magnetosphere dynamics | Fluid Dynamics and Turbulent Flows
University of Idaho,Jatinder Singh,A5026571262,134,1027,20,Crystallization and Solubility Studies,Crystallization and Solubility Studies | X-ray Diffraction in Crystallography | Crystallography and molecular interactions
University of Wisconsin-Milwaukee,R. S. Amano,A5109290111,199,980,18,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Turbomachinery Performance and Optimization | Heat Transfer Mechanisms
Clemson University,Albert Co,A5111441465,332,926,13,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | Polymer crystallization and properties | Material Dynamics and Properties
University of Delaware,Albert Co,A5111441465,332,926,13,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | Polymer crystallization and properties | Material Dynamics and Properties
Brigham Young University,Jonathan D. Blotter,A5038508797,172,915,16,Acoustic Wave Phenomena Research,Acoustic Wave Phenomena Research | Structural Health Monitoring Techniques | Aerodynamics and Acoustics in Jet Flows
University of Dayton,Scott Stouffer,A5089919017,84,874,16,Combustion and flame dynamics,Combustion and flame dynamics | Advanced Combustion Engine Technologies | Heat transfer and supercritical fluids
University of Dayton,S. P. Heneghan,A5034660848,56,856,16,Heat transfer and supercritical fluids,Heat transfer and supercritical fluids | Combustion and flame dynamics | Rocket and propulsion systems research
Howard University,Terry L. Thompson,A5041614625,105,848,12,Air Traffic Management and Optimization,Air Traffic Management and Optimization | Diversity and Career in Medicine | Coal Combustion and Slurry Processing
Binghamton University,George D. Catalano,A5046481139,207,829,16,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Biomedical and Engineering Education | Engineering Education and Curriculum Development
University of Kentucky,S. N. Singh,A5018899707,343,598,13,Anesthesia and Pain Management,Anesthesia and Pain Management | Fluid Dynamics and Turbulent Flows | Mathematical functions and polynomials
Old Dominion University,Colin Britcher,A5054168932,157,584,12,Magnetic Bearings and Levitation Dynamics,Magnetic Bearings and Levitation Dynamics | Aerodynamics and Fluid Dynamics Research | Geomagnetism and Paleomagnetism Studies
University of Dayton,Vladimir Benin,A5072362065,54,543,14,Crystallization and Solubility Studies,Crystallization and Solubility Studies | X-ray Diffraction in Crystallography | Flame retardant materials and properties
Vanderbilt University,Dongqing Li Prof.,A5096833853,917,344,9,Microfluidic and Capillary Electrophoresis Applications,Microfluidic and Capillary Electrophoresis Applications | Physics and Engineering Research Articles | Electrohydrodynamics and Fluid Dynamics
