university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
Texas Tech University,Wei Zhang,A5100692237,366,7083,43,Vibration and Dynamic Analysis,Vibration and Dynamic Analysis | Composite Structure Analysis and Optimization | Structural Analysis and Optimization
Tufts University,Nadine Aubry,A5017743698,256,7070,42,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Microfluidic and Bio-sensing Technologies | Electrohydrodynamics and Fluid Dynamics
Washington State University,Heping Liu,A5100457021,269,6929,40,Plant Water Relations and Carbon Dynamics,Plant Water Relations and Carbon Dynamics | Meteorological Phenomena and Simulations | Fluid Dynamics and Turbulent Flows
Louisiana State University,K. Nandakumar,A5091310415,306,6882,48,Fluid Dynamics and Heat Transfer,Fluid Dynamics and Heat Transfer | Lattice Boltzmann Simulation Studies | Fluid Dynamics and Turbulent Flows
Syracuse University,Lawrence L. Tavlarides,A5038081477,211,6813,42,Fluid Dynamics and Mixing,Fluid Dynamics and Mixing | Minerals Flotation and Separation Techniques | Extraction and Separation Processes
University of Notre Dame,Eric Jumper,A5041911210,322,6772,36,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Adaptive optics and wavefront sensing | Aerodynamics and Acoustics in Jet Flows
University of North Texas,Robert L. Powell,A5109046506,253,6733,40,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | NMR spectroscopy and applications | Material Dynamics and Properties
Washington State University,Y. M. Gupta,A5021838658,387,6693,48,High-pressure geophysics and materials,High-pressure geophysics and materials | Energetic Materials and Combustion | High-Velocity Impact and Material Behavior
University of Denver,Kenneth T. Christensen,A5071088986,329,6232,40,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Particle Dynamics in Fluid Flows | Hydrology and Sediment Transport Processes
Florida International University,Gaurav Dwivedi,A5084382021,253,6119,40,Biodiesel Production and Applications,Biodiesel Production and Applications | Advanced Combustion Engine Technologies | Lubricants and Their Additives
University of Kentucky,Kozo Saito,A5071664928,254,6075,44,Fire dynamics and safety research,Fire dynamics and safety research | Combustion and flame dynamics | Fire effects on ecosystems
Howard University,Nadir Yılmaz,A5071383910,132,5878,42,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Biodiesel Production and Applications | Heat transfer and supercritical fluids
Louisiana State University,Bijan Mohammadi,A5041893980,347,5714,38,Mechanical Behavior of Composites,Mechanical Behavior of Composites | Composite Structure Analysis and Optimization | Computational Fluid Dynamics and Aerodynamics
Carnegie Mellon University,Qing Xiao,A5100721754,326,5641,39,Fluid Dynamics and Vibration Analysis,Fluid Dynamics and Vibration Analysis | Wave and Wind Energy Systems | Wind Energy Research and Development
University of South Florida,Ivan Oleynik,A5065464997,253,5612,34,Energetic Materials and Combustion,Energetic Materials and Combustion | High-pressure geophysics and materials | Diamond and Carbon-based Materials Research
University of Massachusetts-Lowell,Fuqiang Liu,A5100733018,250,5601,41,Electrocatalysts for Energy Conversion,Electrocatalysts for Energy Conversion | Combustion and flame dynamics | Fuel Cells and Related Materials
University of Maryland-Baltimore County,B. Nicolaenko,A5112519174,157,5544,34,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Navier-Stokes equation solutions | Stability and Controllability of Differential Equations
University of Rhode Island,Anthony J. Marchese,A5011880552,159,5491,35,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Combustion and flame dynamics | Engineering Education and Pedagogy
University of Oklahoma,Dimitrios V. Papavassiliou,A5044193981,241,5485,38,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Carbon Nanotubes in Composites | Thermal properties of materials
University of Missouri-Columbia,Sudarshan K. Loyalka,A5053257921,292,5430,39,Gas Dynamics and Kinetic Theory,Gas Dynamics and Kinetic Theory | Particle Dynamics in Fluid Flows | Nuclear reactor physics and engineering
University of South Carolina,Jamil A. Khan,A5101410159,242,5429,40,Heat Transfer and Optimization,Heat Transfer and Optimization | Heat Transfer and Boiling Studies | Nanofluid Flow and Heat Transfer
University of Delaware,Shangyou Zhang,A5040152867,300,5416,30,Advanced Numerical Methods in Computational Mathematics,Advanced Numerical Methods in Computational Mathematics | Numerical methods in engineering | Electromagnetic Simulation and Numerical Methods
University of Notre Dame,Flint O. Thomas,A5053357631,283,5391,40,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Aerodynamics and Acoustics in Jet Flows | Plasma and Flow Control in Aerodynamics
University of Central Florida,Ranganathan Kumar,A5036913194,245,5385,39,Fluid Dynamics and Heat Transfer,Fluid Dynamics and Heat Transfer | Electrohydrodynamics and Fluid Dynamics | Innovative Microfluidic and Catalytic Techniques Innovation
University of Oklahoma,Subhash Shah,A5013787758,260,5383,38,Drilling and Well Engineering,Drilling and Well Engineering | Hydraulic Fracturing and Reservoir Analysis | Rheology and Fluid Dynamics Studies
Michigan Technological University,Richard Davis,A5018544347,195,5250,32,Scientific Measurement and Uncertainty Evaluation,Scientific Measurement and Uncertainty Evaluation | Sensor Technology and Measurement Systems | Radioactive Decay and Measurement Techniques
Rensselaer Polytechnic Institute,Joel L. Plawsky,A5032586037,303,5242,40,Heat Transfer and Boiling Studies,Heat Transfer and Boiling Studies | Semiconductor materials and devices | Copper Interconnects and Reliability
University of Minnesota-Twin Cities,Kumar K. Tamma,A5065390310,440,5110,36,Numerical methods for differential equations,Numerical methods for differential equations | Numerical methods in engineering | Advanced Numerical Methods in Computational Mathematics
Saint Louis University,Theodosios Korakianitis,A5006296343,175,5096,38,Advanced Combustion Engine Technologies,Advanced Combustion Engine Technologies | Turbomachinery Performance and Optimization | Combustion and flame dynamics
University of Notre Dame,Mihir Sen,A5036886663,269,5070,37,Heat Transfer and Optimization,Heat Transfer and Optimization | Fluid Dynamics and Turbulent Flows | Nanofluid Flow and Heat Transfer
Drexel University,Bakhtier Farouk,A5005581153,293,5063,35,Plasma Diagnostics and Applications,Plasma Diagnostics and Applications | Plasma Applications and Diagnostics | Advanced Thermodynamic Systems and Engines
The University of Texas at Arlington,Frank Lu,A5077491391,356,5041,34,Combustion and Detonation Processes,Combustion and Detonation Processes | Computational Fluid Dynamics and Aerodynamics | Fluid Dynamics and Turbulent Flows
University of Massachusetts-Amherst,Ehsan Roohi,A5067028133,298,5035,43,Gas Dynamics and Kinetic Theory,Gas Dynamics and Kinetic Theory | Computational Fluid Dynamics and Aerodynamics | Fluid Dynamics and Turbulent Flows
Rensselaer Polytechnic Institute,William N. Gill,A5110158222,209,5018,39,Copper Interconnects and Reliability,Copper Interconnects and Reliability | Semiconductor materials and devices | Membrane Separation Technologies
Auburn University,Joseph Majdalani,A5045768438,294,4994,39,Rocket and propulsion systems research,Rocket and propulsion systems research | Spacecraft and Cryogenic Technologies | Energetic Materials and Combustion
University of Nevada-Reno,A. Jeffrey Giacomin,A5072268674,749,4961,33,Rheology and Fluid Dynamics Studies,Rheology and Fluid Dynamics Studies | Polymer crystallization and properties | Material Dynamics and Properties
University of Nevada-Reno,Faramarz Gordaninejad,A5038039027,220,4910,40,Vibration Control and Rheological Fluids,Vibration Control and Rheological Fluids | Structural Engineering and Vibration Analysis | Seismic Performance and Analysis
Northeastern University,Yuntao Li,A5100616043,312,4831,35,Topic Modeling,Topic Modeling | Combustion and Detonation Processes | Fire dynamics and safety research
Southern Illinois University-Carbondale,Asghar Esmaeeli,A5013915205,100,4601,21,Fluid Dynamics and Heat Transfer,Fluid Dynamics and Heat Transfer | Electrohydrodynamics and Fluid Dynamics | Fluid Dynamics and Mixing
East Carolina University,David West,A5110788717,122,4589,31,Catalytic Processes in Materials Science,Catalytic Processes in Materials Science | Catalysis and Oxidation Reactions | Combustion and flame dynamics
University of Arizona,Jürgen Czarske,A5065780800,536,4563,35,Optical Coherence Tomography Applications,Optical Coherence Tomography Applications | Fluid Dynamics and Turbulent Flows | Advanced Measurement and Metrology Techniques
New Jersey Institute of Technology,Lou Kondic,A5026028890,352,4482,38,Fluid Dynamics and Thin Films,Fluid Dynamics and Thin Films | Granular flow and fluidized beds | Fluid Dynamics and Heat Transfer
University of Maine,Andrew J. Goupee,A5080950503,106,4386,33,Wave and Wind Energy Systems,Wave and Wind Energy Systems | Wind Energy Research and Development | Fluid Dynamics and Vibration Analysis
Florida International University,George S. Dulikravich,A5064384135,391,4341,33,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Numerical methods in inverse problems | Turbomachinery Performance and Optimization
Syracuse University,Mark Glauser,A5109075667,342,4288,32,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Aerodynamics and Acoustics in Jet Flows | Computational Fluid Dynamics and Aerodynamics
University of North Dakota,Michael D. Mann,A5058566977,170,4287,34,Thermochemical Biomass Conversion Processes,Thermochemical Biomass Conversion Processes | Coal Properties and Utilization | Coal Combustion and Slurry Processing
University of Denver,Gary A. Bishop,A5014579784,156,4285,37,Vehicle emissions and performance,Vehicle emissions and performance | Atmospheric chemistry and aerosols | Air Quality and Health Impacts
Missouri University of Science and Technology,B. F. Armaly,A5024068235,144,4277,27,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Nanofluid Flow and Heat Transfer | Heat Transfer Mechanisms
